#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/30/2023 12:44:22,26.74,70.630,20.98,,
2,05/30/2023 12:54:22,26.79,66.260,19.99,,
3,05/30/2023 13:04:22,26.79,65.405,19.78,,
4,05/30/2023 13:14:22,26.87,66.260,20.07,,
5,05/30/2023 13:24:22,26.96,66.748,20.27,,
6,05/30/2023 13:34:22,27.04,66.943,20.40,,
7,05/30/2023 13:44:22,27.14,66.943,20.49,,
8,05/30/2023 13:54:22,27.21,66.846,20.54,,
9,05/30/2023 14:04:22,26.55,53.589,16.38,,
10,05/30/2023 14:14:22,25.26,72.192,19.92,,
11,05/30/2023 14:24:22,25.91,71.997,20.50,,
12,05/30/2023 14:34:22,26.40,70.117,20.54,,
13,05/30/2023 14:44:22,26.60,69.189,20.51,,
14,05/30/2023 14:54:22,26.77,68.457,20.50,,
15,05/30/2023 15:04:22,26.89,67.920,20.49,,
16,05/30/2023 15:14:22,27.01,67.480,20.50,,
17,05/30/2023 15:24:22,27.11,67.065,20.49,,
18,05/30/2023 15:34:22,27.21,66.724,20.51,,
19,05/30/2023 15:44:22,26.52,53.516,16.33,,
20,05/30/2023 15:54:22,25.28,71.558,19.79,,
21,05/30/2023 16:04:22,25.91,70.947,20.26,,
22,05/30/2023 16:14:22,26.43,69.189,20.35,,
23,05/30/2023 16:24:22,26.62,68.213,20.30,,
24,05/30/2023 16:34:22,26.77,67.529,20.28,,
25,05/30/2023 16:44:22,26.89,66.968,20.26,,
26,05/30/2023 16:54:22,27.01,66.528,20.27,,
27,05/30/2023 17:04:22,27.11,66.138,20.27,,
28,05/30/2023 17:14:22,27.21,65.796,20.28,,
29,05/30/2023 17:24:22,26.06,49.170,14.59,,
30,05/30/2023 17:34:22,25.38,71.411,19.86,,
31,05/30/2023 17:44:22,25.96,69.849,20.06,,
32,05/30/2023 17:54:22,26.43,68.213,20.12,,
33,05/30/2023 18:04:22,26.62,67.212,20.06,,
34,05/30/2023 18:14:22,26.77,66.528,20.04,,
35,05/30/2023 18:24:22,26.92,65.991,20.05,,
36,05/30/2023 18:34:22,27.04,65.576,20.06,,
37,05/30/2023 18:44:22,27.14,65.210,20.07,,
38,05/30/2023 18:54:22,27.21,64.868,20.05,,
39,05/30/2023 19:04:22,25.82,48.169,14.05,,
40,05/30/2023 19:14:22,25.38,70.728,19.70,,
41,05/30/2023 19:24:22,25.96,68.921,19.84,,
42,05/30/2023 19:34:22,26.43,67.163,19.87,,
43,05/30/2023 19:44:22,26.62,66.235,19.83,,
44,05/30/2023 19:54:22,26.77,65.625,19.82,,
45,05/30/2023 20:04:22,26.84,65.186,19.78,,
46,05/30/2023 20:14:22,26.84,65.088,19.75,,
47,05/30/2023 20:24:22,26.79,65.063,19.70,,
48,05/30/2023 20:34:22,26.77,65.088,19.69,,
49,05/30/2023 20:44:22,26.74,65.039,19.65,,
50,05/30/2023 20:54:22,26.72,65.015,19.62,,
51,05/30/2023 21:04:22,26.70,64.941,19.58,,
52,05/30/2023 21:14:22,26.67,64.868,19.54,,
53,05/30/2023 21:24:22,26.67,64.795,19.52,,
54,05/30/2023 21:34:22,26.65,64.722,19.48,,
55,05/30/2023 21:44:22,26.65,64.648,19.46,,
56,05/30/2023 21:54:22,26.62,64.600,19.42,,
57,05/30/2023 22:04:22,26.62,64.478,19.39,,
58,05/30/2023 22:14:22,26.62,64.404,19.37,,
59,05/30/2023 22:24:22,26.60,64.331,19.34,,
60,05/30/2023 22:34:22,26.60,64.258,19.32,,
61,05/30/2023 22:44:22,26.57,64.160,19.27,,
62,05/30/2023 22:54:22,26.57,64.111,19.25,,
63,05/30/2023 23:04:22,26.55,64.038,19.22,,
64,05/30/2023 23:14:22,26.55,63.940,19.19,,
65,05/30/2023 23:24:22,26.55,63.892,19.18,,
66,05/30/2023 23:34:22,26.52,63.818,19.13,,
67,05/30/2023 23:44:22,26.52,63.770,19.12,,
68,05/30/2023 23:54:22,26.50,63.721,19.09,,
69,05/31/2023 00:04:22,26.50,63.623,19.06,,
70,05/31/2023 00:14:22,26.48,63.574,19.03,,
71,05/31/2023 00:24:22,26.48,63.501,19.01,,
72,05/31/2023 00:34:22,26.45,63.428,18.97,,
73,05/31/2023 00:44:22,26.45,63.403,18.96,,
74,05/31/2023 00:54:22,26.45,63.354,18.95,,
75,05/31/2023 01:04:22,26.43,63.354,18.93,,
76,05/31/2023 01:14:22,26.43,63.354,18.93,,
77,05/31/2023 01:24:22,26.43,63.330,18.92,,
78,05/31/2023 01:34:22,26.40,63.330,18.90,,
79,05/31/2023 01:44:22,26.40,63.281,18.88,,
80,05/31/2023 01:54:22,26.40,63.257,18.88,,
81,05/31/2023 02:04:22,26.40,63.208,18.86,,
82,05/31/2023 02:14:22,26.40,63.184,18.86,,
83,05/31/2023 02:24:22,26.40,63.110,18.84,,
84,05/31/2023 02:34:22,26.40,63.086,18.83,,
85,05/31/2023 02:44:22,26.40,63.013,18.81,,
86,05/31/2023 02:54:22,26.40,62.939,18.80,,
87,05/31/2023 03:04:22,26.40,62.891,18.78,,
88,05/31/2023 03:14:22,26.40,62.866,18.78,,
