#,Date-Time (PST),Ch: 1 - Temperature   (°C ),Ch: 2 - RH   (%),Dew Point   (°C ),Host Connected,End of File
1,2/3/2023 6:40,13.06,87.598,11.06,,
2,2/3/2023 6:50,23.4,69.36,17.49,,
3,2/3/2023 7:00,24.39,64.526,17.29,,
4,2/3/2023 7:10,24.7,63.159,17.25,,
5,2/3/2023 7:20,24.77,62.817,17.23,,
6,2/3/2023 7:30,24.63,48.022,12.92,,
7,2/3/2023 7:40,24.75,36.768,9,,
8,2/3/2023 7:50,25.38,36.401,9.41,,
9,2/3/2023 8:00,24.39,34.082,7.57,,
10,2/3/2023 8:10,24.63,36.743,8.89,,
11,2/3/2023 8:20,24.94,36.597,9.1,,
12,2/3/2023 8:30,25.14,43.359,11.82,,
13,2/3/2023 8:40,24.9,50.024,13.79,,
14,2/3/2023 8:50,25.33,54.175,15.42,,
15,2/3/2023 9:00,25.21,62.866,17.65,,
16,2/3/2023 9:10,25.74,68.115,19.44,,
17,2/3/2023 9:20,25.57,65.332,18.61,,
18,2/3/2023 9:30,26.18,70.19,20.34,,
19,2/3/2023 9:40,26.04,74.097,21.09,,
20,2/3/2023 9:50,26.06,76.685,21.67,,
21,2/3/2023 10:00,26.06,71.606,20.55,,
22,2/3/2023 10:10,26.13,75.024,21.38,,
23,2/3/2023 10:20,26.21,77.344,21.96,,
24,2/3/2023 10:30,26.3,78.687,22.33,,
25,2/3/2023 10:40,26.43,79.395,22.6,,
26,2/3/2023 10:50,26.57,78.809,22.62,,
27,2/3/2023 11:00,26.74,77.515,22.51,,
28,2/3/2023 11:10,26.92,76.514,22.47,,
29,2/3/2023 11:20,27.06,75.903,22.47,,
30,2/3/2023 11:30,27.21,75.146,22.45,,
31,2/3/2023 11:40,27.36,73.706,22.28,,
32,2/3/2023 11:50,27.48,72.266,22.07,,
33,2/3/2023 12:00,27.6,70.972,21.89,,
34,2/3/2023 12:10,27.73,69.873,21.75,,
35,2/3/2023 12:20,27.85,68.677,21.59,,
36,2/3/2023 12:30,27.95,67.603,21.42,,
37,2/3/2023 12:40,28.07,66.626,21.3,,
38,2/3/2023 12:50,28.17,65.723,21.17,,
39,2/3/2023 13:00,25.33,58.813,16.71,,
40,2/3/2023 13:10,26.4,71.387,20.83,,
41,2/3/2023 13:20,26.87,68.677,20.65,,
42,2/3/2023 13:30,27.11,64.087,19.76,,
43,2/3/2023 13:40,27.36,63.257,19.78,,
44,2/3/2023 13:50,27.53,62.549,19.76,,
45,2/3/2023 14:00,27.68,61.938,19.75,,
46,2/3/2023 14:10,27.83,61.401,19.75,,
47,2/3/2023 14:20,27.95,60.864,19.72,,
48,2/3/2023 14:30,28.07,60.449,19.72,,
49,2/3/2023 14:40,28.22,59.985,19.74,,
50,2/3/2023 14:50,25.84,67.896,19.48,,
51,2/3/2023 15:00,26.72,64.355,19.46,,
52,2/3/2023 15:10,27.09,62.671,19.38,,
53,2/3/2023 15:20,27.33,61.475,19.29,,
54,2/3/2023 15:30,27.55,60.571,19.26,,
55,2/3/2023 15:40,27.73,59.79,19.22,,
56,2/3/2023 15:50,27.9,59.18,19.22,,
57,2/3/2023 16:00,28.05,58.545,19.19,,
58,2/3/2023 16:10,28.05,60.986,19.84,,
59,2/3/2023 16:20,28.2,60.962,19.98,,
60,2/3/2023 16:30,25.55,68.555,19.36,,
61,2/3/2023 16:40,26.67,65.356,19.66,,
62,2/3/2023 16:50,27.06,63.184,19.48,,
63,2/3/2023 17:00,27.36,61.694,19.38,,
64,2/3/2023 17:10,27.58,60.62,19.3,,
65,2/3/2023 17:20,27.75,59.741,19.23,,
66,2/3/2023 17:30,27.9,59.058,19.18,,
67,2/3/2023 17:40,28.05,58.423,19.15,,
68,2/3/2023 17:50,28.07,61.182,19.91,,
69,2/3/2023 18:00,28.22,61.182,20.06,,
70,2/3/2023 18:10,25.57,68.872,19.45,,
71,2/3/2023 18:20,26.7,65.771,19.79,,
72,2/3/2023 18:30,27.09,63.696,19.64,,
73,2/3/2023 18:40,27.36,62.305,19.54,,
74,2/3/2023 18:50,27.55,61.23,19.44,,
75,2/3/2023 19:00,27.75,60.4,19.41,,
76,2/3/2023 19:10,27.9,59.668,19.35,,
77,2/3/2023 19:20,27.95,61.133,19.79,,
78,2/3/2023 19:30,28.05,62.402,20.22,,
79,2/3/2023 19:40,28.22,62.134,20.31,,
80,2/3/2023 19:50,25.57,68.726,19.42,,
81,2/3/2023 20:00,26.72,66.699,20.03,,
82,2/3/2023 20:10,27.11,64.722,19.92,,
83,2/3/2023 20:20,27.38,63.403,19.84,,
84,2/3/2023 20:30,27.6,62.329,19.77,,
85,2/3/2023 20:40,27.78,61.475,19.72,,
86,2/3/2023 20:50,27.95,60.84,19.71,,
87,2/3/2023 21:00,28.07,60.254,19.67,,
88,2/3/2023 21:10,28.22,59.717,19.66,,
89,2/3/2023 21:20,26.01,69.775,20.09,,
90,2/3/2023 21:30,26.74,67.358,20.21,,
91,2/3/2023 21:40,27.09,65.796,20.16,,
92,2/3/2023 21:50,27.36,64.526,20.11,,
93,2/3/2023 22:00,27.55,63.501,20.03,,
94,2/3/2023 22:10,27.73,62.646,19.98,,
95,2/3/2023 22:20,27.87,61.938,19.92,,
96,2/3/2023 22:30,28.02,61.353,19.91,,
97,2/3/2023 22:40,28.17,60.815,19.91,,
98,2/3/2023 22:50,25.43,48.584,13.83,,
99,2/3/2023 23:00,26.4,71.851,20.94,,
100,2/3/2023 23:10,26.79,70.337,20.96,,
101,2/3/2023 23:20,27.09,68.872,20.91,,
102,2/3/2023 23:30,27.31,67.603,20.81,,
103,2/3/2023 23:40,27.51,66.553,20.75,,
104,2/3/2023 23:50,27.68,65.674,20.69,,
105,2/4/2023 0:00,27.83,64.868,20.64,,
106,2/4/2023 0:10,27.97,64.16,20.59,,
107,2/4/2023 0:20,28.1,63.647,20.58,,
108,2/4/2023 0:30,28.22,63.11,20.56,,
109,2/4/2023 0:40,25.19,70.825,19.54,,
110,2/4/2023 0:50,26.74,69.092,20.62,,
111,2/4/2023 1:00,27.04,67.529,20.54,,
112,2/4/2023 1:10,27.28,66.382,20.49,,
113,2/4/2023 1:20,27.48,65.527,20.47,,
114,2/4/2023 1:30,27.65,64.868,20.47,,
115,2/4/2023 1:40,27.8,64.209,20.44,,
116,2/4/2023 1:50,27.95,63.672,20.45,,
117,2/4/2023 2:00,28.05,63.184,20.42,,
118,2/4/2023 2:10,28.2,62.695,20.43,,
119,2/4/2023 2:20,24.82,64.429,17.67,,
120,2/4/2023 2:30,26.65,68.75,20.46,,
121,2/4/2023 2:40,26.94,67.041,20.33,,
122,2/4/2023 2:50,27.21,65.601,20.23,,
123,2/4/2023 3:00,27.41,64.551,20.16,,
124,2/4/2023 3:10,27.58,63.745,20.12,,
125,2/4/2023 3:20,27.73,63.11,20.1,,
126,2/4/2023 3:30,27.87,62.524,20.08,,
127,2/4/2023 3:40,28,61.963,20.05,,
128,2/4/2023 3:50,28.12,61.499,20.04,,
129,2/4/2023 4:00,27.7,56.421,18.27,,
130,2/4/2023 4:10,25.94,69.629,19.98,,
131,2/4/2023 4:20,26.72,66.187,19.91,,
132,2/4/2023 4:30,27.01,64.453,19.76,,
133,2/4/2023 4:40,27.26,63.208,19.68,,
134,2/4/2023 4:50,27.46,62.231,19.61,,
135,2/4/2023 5:00,27.6,61.45,19.54,,
136,2/4/2023 5:10,27.78,60.791,19.54,,
137,2/4/2023 5:20,27.92,60.034,19.47,,
138,2/4/2023 5:30,28.05,59.302,19.39,,
139,2/4/2023 5:40,28.17,58.618,19.32,,
140,2/4/2023 5:50,24.8,65.21,17.85,,
141,2/4/2023 6:00,26.84,66.138,20.01,,
142,2/4/2023 6:10,27.04,64.893,19.89,,
143,2/4/2023 6:20,27.28,63.55,19.78,,
144,2/4/2023 6:30,27.48,62.329,19.66,,
145,2/4/2023 6:40,27.65,61.279,19.54,,
146,2/4/2023 6:50,27.83,60.449,19.49,,
147,2/4/2023 7:00,27.95,59.668,19.4,,
148,2/4/2023 7:10,28.1,59.058,19.37,,
149,2/4/2023 7:20,28.22,58.472,19.32,,
150,2/4/2023 7:30,25.19,69.971,19.35,,
151,2/4/2023 7:40,26.82,66.235,20.02,,
152,2/4/2023 7:50,27.09,64.673,19.89,,
153,2/4/2023 8:00,27.31,63.379,19.77,,
154,2/4/2023 8:10,27.51,62.402,19.71,,
155,2/4/2023 8:20,27.65,61.475,19.6,,
156,2/4/2023 8:30,27.8,60.742,19.54,,
157,2/4/2023 8:40,27.95,60.107,19.52,,
158,2/4/2023 8:50,28.07,59.546,19.48,,
159,2/4/2023 9:00,28.22,59.106,19.5,,
160,2/4/2023 9:10,25.99,68.652,19.8,,
161,2/4/2023 9:20,26.72,66.284,19.93,,
162,2/4/2023 9:30,27.06,64.819,19.89,,
